Id, Pgn Number, Event, Move Number, Move, Score, Comment
0, 44, "alygally's mini-tournament", 1W, e2e4, +22, "This is my first gameknot game against someone rated 1800 , in my
very first mini-tournament.", 0
1, 44, "alygally's mini-tournament", 1B, e7e5, +24, "", 0
2, 44, "alygally's mini-tournament", 2W, b1c3, +29, "I've been playing the Vienna Gambit
as white, with a lot of success, since people play exf4, which gives white
a great position (lots of development for the pawn).", 0
3, 44, "alygally's mini-tournament", 2B, f8c5, +37, "Minor disappointment.", 0
4, 44, "alygally's mini-tournament", 3W, f1c4, +16, "", 0
5, 44, "alygally's mini-tournament", 3B, g8f6, +16, "", 0
6, 44, "alygally's mini-tournament", 4W, d2d3, -5, "", 0
7, 44, "alygally's mini-tournament", 4B, b8c6, +19, "", 0
8, 44, "alygally's mini-tournament", 5W, f2f4, -23, "My idea here is to expand on the kingside,
drive the knight away, and attack with both bishops, queen, and maybe the
rook.", 0
9, 44, "alygally's mini-tournament", 5B, d7d6, 0, "", 0
10, 44, "alygally's mini-tournament", 6W, f4f5, -16, "", 0
11, 44, "alygally's mini-tournament", 6B, c6a5, +8, "", 0
12, 44, "alygally's mini-tournament", 7W, d1f3, -29, "Maybe this isn't the greatest plan, since without
that light-square bishop, the kingside attack isn't looking as great.", 0
13, 44, "alygally's mini-tournament", 7B, a5c4, -19, "", 0
14, 44, "alygally's mini-tournament", 8W, d3c4, -8, "", 0
15, 44, "alygally's mini-tournament", 8B, c7c6, +25, "", 0
16, 44, "alygally's mini-tournament", 9W, g2g4, +51, "Going for the kingside attack anyway!", 0
17, 44, "alygally's mini-tournament", 9B, g7g6, +125, "", 0
18, 44, "alygally's mini-tournament", 10W, g4g5, +114, "", 0
19, 44, "alygally's mini-tournament", 10B, f6h5, +142, "", 0
20, 44, "alygally's mini-tournament", 11W, g1e2, +159, "Now everything is still defended adequately, as black doesn't
have a breakthrough for white's extended kingside.  My idea is Ng3, opening
the h-file for attack.", 0
21, 44, "alygally's mini-tournament", 11B, a7a6, +160, "?  Too slow, maybe.", 0
22, 44, "alygally's mini-tournament", 12W, e2g3, +175, "", 0
23, 44, "alygally's mini-tournament", 12B, h5g3, +202, "", 0
24, 44, "alygally's mini-tournament", 13W, h2g3, +145, "", 0
25, 44, "alygally's mini-tournament", 13B, b7b5, +224, "", 0
26, 44, "alygally's mini-tournament", 14W, b2b3, 0, "Why do this?  White has doubled pawns already, do I want a second
set?  Well, here, I think I do.  Doubled pawns can be weak in the endgame,
but this opens a line for the other rook to attack!", 0
27, 44, "alygally's mini-tournament", 14B, b5c4, +122, "", 0
28, 44, "alygally's mini-tournament", 15W, b3c4, +32, "", 0
29, 44, "alygally's mini-tournament", 15B, c5d4, +50, "Pins the knight, which is defended by the queen. BxN, QxB, PxP, PxP, BxP
is good for black, so I defend the f5 pawn again.", 0
30, 44, "alygally's mini-tournament", 16W, g3g4, +63, "", 0
31, 44, "alygally's mini-tournament", 16B, d8a5, +189, "Menacing
and pinning the knight, but this is easily met by...", 0
32, 44, "alygally's mini-tournament", 17W, c1d2, +120, "Bd2, where
the queen must move again in view of moves like Ne2.  Qa5 may not have
been good, since it allowed white to develop a piece, losing a tempo for
black.", 0
33, 44, "alygally's mini-tournament", 17B, a5c7, +120, "", 0
34, 44, "alygally's mini-tournament", 18W, a1b1, +137, "Grabbing the open file, and freeing the knight to
move.", 0
35, 44, "alygally's mini-tournament", 18B, c8b7, +193, "There is nowhere good for the bishop to go, but this works
out poorly, as the queen is tied to the Bb7's defense.", 0
36, 44, "alygally's mini-tournament", 19W, h1h3, +131, "Here we
go with the plan -- double on the h-file and demolish the kingside.  Many
responses for black look inadequate, such as f6 and 0-0.", 0
37, 44, "alygally's mini-tournament", 19B, e8c8, +140, "This also
works out poorly; maybe Kd2 was better?", 0
38, 44, "alygally's mini-tournament", 20W, f3h1, +92, "The h7 pawn is a goner.", 0
39, 44, "alygally's mini-tournament", 20B, d6d5, +194, "Black's got to counterattack to have a chance.", 0
40, 44, "alygally's mini-tournament", 21W, h3h7, -116, "", 0
41, 44, "alygally's mini-tournament", 21B, h8h7, -71, "", 0
42, 44, "alygally's mini-tournament", 22W, h1h7, -99, "", 0
43, 44, "alygally's mini-tournament", 22B, g6f5, +112, "?  This allows a combination by white.  However, if black had allowed
fxg6, that looks unpleasant too.", 0
44, 44, "alygally's mini-tournament", 23W, h7f5, +27, "Better than exf5 or gxf5.", 0
45, 44, "alygally's mini-tournament", 23B, c8b8, 0, "Stepping into the pin by the rook.", 0
46, 44, "alygally's mini-tournament", 24W, c3e2, 0, "If I can get the e5 pawn
to take on d4, Bf4 is crushing.", 0
47, 44, "alygally's mini-tournament", 24B, d5c4, +246, "Well, it doesn't look like there's
anything better.", 1
48, 44, "alygally's mini-tournament", 25W, e2d4, +152, "", 0
49, 44, "alygally's mini-tournament", 25B, e5d4, +717, "??????  Definitely the losing move.  Bf4
is more than black can stand.", 0
50, 44, "alygally's mini-tournament", 26W, d2f4, +878, "", 0
51, 44, "alygally's mini-tournament", 26B, d8d6, +755, "Now Bxd6 Qxd6 Qxf7 Qg3  gives
black drawing chances, but there's no good response to...", 0
52, 44, "alygally's mini-tournament", 27W, f5e5, +668, "Qe5,
winning the rook outright, and hence the game.", 0
53, 44, "alygally's mini-tournament", 27B, d6d7, #+7, "Hoping for Qxc7, but
it is not to be...", 0
54, 44, "alygally's mini-tournament", 28W, e5e8, #+6, "The Queen is lost, and black resigns.", 0
56, 62, "League division D2", 1W, e2e4, +22, "", 0
57, 62, "League division D2", 1B, c7c5, +20, "", 0
58, 62, "League division D2", 2W, g1f3, +29, "", 0
59, 62, "League division D2", 2B, d7d6, +62, "", 0
60, 62, "League division D2", 3W, d2d4, +39, "", 0
61, 62, "League division D2", 3B, b8c6, +130, "", 0
62, 62, "League division D2", 4W, d4d5, +110, "I wanted to gain space in the middle.", 0
63, 62, "League division D2", 4B, c6e5, +251, "", 0
64, 62, "League division D2", 5W, f3e5, +215, "I exchanged Knights so it would double Black's pawns on the
e-file.", 0
65, 62, "League division D2", 5B, d6e5, +285, "", 0
66, 62, "League division D2", 6W, f1b5, +155, "Analysis by Fritz 8 says that White is ahead by
almost a full pawn here.", 0
67, 62, "League division D2", 6B, c8d7, +220, "", 0
68, 62, "League division D2", 7W, d1e2, +197, "", 0
69, 62, "League division D2", 7B, a7a6, +269, "", 0
70, 62, "League division D2", 8W, b5d7, +254, "", 0
71, 62, "League division D2", 8B, d8d7, +260, "", 0
72, 62, "League division D2", 9W, c2c4, +187, "I made this
move in order to fix Black's pawns on the dark squares in order to limit
his Bishop's mobility.", 0
73, 62, "League division D2", 9B, g8f6, +188, "", 0
74, 62, "League division D2", 10W, h2h3, +127, "This move was made to avoid an exchange
on g4. I did not want to trade Queen's at this point since mine is crucial
to holding my position together. I was focused on keeping my Pawns where
they were. Fritz 8 says I should've made the move Nc3.", 0
75, 62, "League division D2", 10B, b7b5, +269, "", 0
76, 62, "League division D2", 11W, b2b3, +186, "", 0
77, 62, "League division D2", 11B, e7e6, +219, "", 0
78, 62, "League division D2", 12W, e1g1, +147, "", 0
79, 62, "League division D2", 12B, f8e7, +186, "", 0
80, 62, "League division D2", 13W, b1c3, +167, "", 0
81, 62, "League division D2", 13B, e8g8, +220, "I expected ...b4 here. In that case, I had planned
on trying to get the Knight to b6 via a4. I realize now that the plan was
faulty and Fritz 8 shows it to be a weak move.", 0
82, 62, "League division D2", 14W, f1d1, +214, "", 0
83, 62, "League division D2", 14B, e6d5, +263, "", 0
84, 62, "League division D2", 15W, c3d5, +226, "", 0
85, 62, "League division D2", 15B, f6d5, +228, "", 0
86, 62, "League division D2", 16W, d1d5, +231, "I wanted to control this d-file with my Rooks at any cost.", 0
87, 62, "League division D2", 16B, d7e6, +279, "", 0
88, 62, "League division D2", 17W, c1b2, +236, "I made this move to force Black into the ...f6 move which put
another pawn on the dark-squares, thus blocking his Bishop in even more.", 0
89, 62, "League division D2", 17B, f7f6, +212, "", 0
90, 62, "League division D2", 18W, a1d1, +189, "Following through with putting my Rooks on the d-file.", 0
91, 62, "League division D2", 18B, f8d8, +302, "", 0
92, 62, "League division D2", 19W, a2a3, +131, "I realize now that this wasn't a good move. I didn't want to trade
the Rooks by taking on d8, which is what Fritz 8 suggests.", 0
93, 62, "League division D2", 19B, b5b4, +269, "", 0
94, 62, "League division D2", 20W, a3a4, +244, "I
didn't take the Pawn because I knew it would free the Black Bishop.", 0
95, 62, "League division D2", 20B, d8d5, +247, "", 0
