game_commentary,game_movement,game_number
"He threatens mate on a2 and my bishop, so I resigned. Many thanks for reading please leave a comment or two and rate it on the star system to let me know how I am doing with my annotations. Until next time dear reader!
","
41. Ra7+ Ke6 42. Nc3 Rxf4 43. Nxa4 Rxh2 44. Nc3 Rh3+ 45. Kc2 Rc4 46. Kb3 Rc6 47. Bb4 f4 48. Ka4 Nc7 49. Ne2 Ke5 50. Ra5+ Ke4 51. Bd2 Rc4+ 52. b4 Rc2",25_4
"If my opponent were not in time trouble, he may have found the drawing move 39. Be7!
,... Qf6 here would allowed a perpetual with Bd3+ Bc4+ Bd3+ ...
,White's best try is 41. Bd3+ where the King is forced to go to f6 else Black's Queen will be skewered.
,I was feeling pretty bold here and pretty good about my position because I saw that once the King reaches f4, there are no more checks
,Bxg7 was a better try
,Once queens come off the board, Black's two knights will overpower White's bishop pair due to Black's better King position and passed IQP.
","
38... Qf5,
39. Qh8+ Kg6 40. Bf8,
40... Qd7,
41. f5+ Kxf5,
42. Qxh5+,
42... Kf4 43. Bc5 Qd5,
44. Qxd5 cxd5 45. Bg2 Nc3 46. h3 Nf6 47. Bd6+ Ke3 48. Bc5+ Kd2 49. h4 Nfe4 50. Bf8 g6 51. Bg7 Ne2+ 52. Kh2 Nf4 53. Bf3 Ke3 54. Bg4 d4",54_1
"Declining the rook leads to ruin. Kg8/h8 Qe8#, and Kg6 Qc6+ Kh5 Rxh7. 
,Another blunder. Kg7 wins the game as it avoids the line white missed to get an advantage.
,Instead, Bxc5+! For example bxc5 , Nxh3 , and now the check Bb7 is blocked with e4! The game would have continued with gxh3, but White would have had the initiative with an extra queen. 
,The king gets mated. 
","
27... Kxf7,
28. Ng5+ Ke7,
29. Nxh3,
29... Bb7+",184_1
"Against the anti-Budapest, I play c5 asap. He answers with a Stonewall, taking me out of all my known boundaries. 
,This can't be bad. I close in my lsb, which I don't like. Another idea was d6, hoping for the break in e5, but I preferred a clearer setup. I know I'll suffer on the f column unless I play a safe f5.
,I want to keep in control of an unknown sopening. I dared to open the Qh5+ by playing f5. 
,He refuses, and I shield g4 so to avoid a Ng5 attack on e6. 
,If he exchanges, I'll have a closed center and I hope I will be able to develop. But I overlooked a threat.
,So, if Qh5+, Nf7. 
,...but now, what? Qh4 was the option, but I was scared of having it trapped. So I played, foolishly...
,? ...but it is a fatal mistake?
,Escaping Q side. Now, white can continue with c4, winning easily. 
,Why not? My pieces are closed-in!
,Bb5+, Kc7, on his way to b8 or something... I threw away the game as a fool!
,? Qf7 was probably stronger. 
,Only  move to defend both pawns. e6 gets pinned...
,? I'd have played d5 at once, but he wants to prevent Bc5+.
,Activating the R and controlling b5.
,Strange idea, since after the exchanges still a piece gets on e6, but I see the plan with the pawn d5. I miss tempoes to unravel myself, and now, Be8 just leads to Qxe6, winning. 
,...after d5, Bc4+ will give an extra R support to e6. 
,I changed my mind. The check doesn't give much to me, but if he falls for BxB, winning a panw but opening the h column for me...
,My K is safe, for the moment! 
,He correctly thinks that the key for his penetration is the lsb. 
","
1. d4 Nf6 2. f4 e6 3. e3 c5 4. c3,
4... cxd4 5. exd4 d5,
6. Nf3 Nc6 7. Bd3 Ne4,
8. O-O h6,
9. Nbd2 f5,
10. Ne5 Nxe5,
11. fxe5,
11... Be7,
12. Qh5+ Kd7,
13. Nxe4,
13... dxe4,
14. Bc4 Kc7 15. Qg6,
15... Qg8,
16. Be3,
16... Bd7,
17. Bf4,
17... Re8,
18. d5 Bg5,
19. d6+ Kc8,
20. Bg3",51
"I have never palyed this kind play here, so let's go and see 
,wondering if I can play e5 for simple attack and release Bc8
,well now i have make some forced moves to backward, but still e4 is my dagger
,My Queen controls c3, white has so little space
,double check for c3
,there is no hurry to add pressure against b5
,again my dagger is ready for action
,some pressure to b5
,hmmm...Na4 -> Nc5 is too strong, so waiting again 
,again with Bishop and Knight will be not so good in a3
,Good idea to put Rook here, d5 is my weakness
,go black go...white Knight , shut the door! 
,the door is now closed with dagger e5
,King releases Ne7 and saves g6 also black squares are much better to stand
,Here we are, Q take strong place with force against b4 
,now white has so little space he have to play simple
,now black have clear plan to attack 
,white is planning a6 and then Bb7 if Rd7 goes line 2
,but black eliminates white Bishop easily
,white knight still trying to come 
","
1. d4 Nf6 2. e3 c5 3. Nf3 d5 4. dxc5 e6 5. a3 Bxc5 6. Bd2,
6... O-O 7. Bd3 Nc6,
8. O-O e5 9. b4 Bd6 10. b5 Ne7,
11. Be2 Qc7,
12. h3 Ne4,
13. Bb4 Bxb4 14. axb4 f6,
15. Bd3 Nd6,
16. Nh2 Qb6,
17. Nc3 Qc7,
18. Nb1 Bd7,
19. Na3 Rfd8,
20. Ng4 h5,
21. Nh2 g6 22. g4 h4,
23. Re1 Kg7,
24. Be2 Qc3,
25. Qb1,
25... Nc4 26. Nxc4 dxc4 27. Bf3 Bxb5 28. Bxb7 Rab8,
29. Bf3 Rd7 30. Rd1 Rbd8 31. Rxd7 Rxd7 32. Ra5,
32... a6 33. Ra1,
33... Nd5 34. Bxd5 Rxd5 35. Nf3",70
"This is an interesting game. My opponent plays the opening fine. I am just getting to the end of my opening database line, when he makes a mistake. The first move of the combination is not original. Although he has an equal position after 12 moves, mistakes on move 13, 14, 16 and 17 lead to a hopeless position. My opponent resigns rather than prolonging the agony. 
,So he keeps the position symmetrical, at least for now.
,The Queen's Gambit. https://en.wikipedia.org/wiki/Queen's_Gambit
,Queen's Gambit Accepted. https://en.wikipedia.org/wiki/Queen%27s_Gambit_Accepted
,This variation quickly regains the pawn for white.
,Sensible development. 
,I regain the pawn.
,He blocks the diagonal for my Bishop.
,I prepare to castle.
,This is thematic, striking at the centre. 
,I carry out my plan.
,This is again often played in this variation.
,According to the Gameknot World Opening database, this is the most common move in the variation. White prepares to temporarily sacrifice a pawn. 
,He doesn't take. The pawn sacrifice line is instead 7....cxd4 8. Rd1
,My rook comes across anyway.
,And he castles.
,My other knight eventually comes out.
,Preparing a queen-side advance.
,I take, discovering an attack on his queen.
,So he moves his queen.
","
1. d4,
1... d5,
2. c4,
2... dxc4,
3. e3,
3... Nf6,
4. Bxc4,
4... e6,
5. Nf3,
5... c5,
6. O-O,
6... Nc6,
7. Qe2,
7... Be7,
8. Rd1,
8... O-O,
9. Nc3,
9... a6,
10. dxc5,
10... Qc7",141
"the Ruy Lopez, probably one of the most analyzed opening systems in the world; played for the first time in my life...
,the usual and strongest reply...  other options are the Cordel variation Bc5, c3, Nf6, d4 - reminiscent to the Italian Party - or the Bird defense Nd4, Nxd4, exd4, 0-0, c6, Bc4, Nf6, bringing us back to Italian lines again...
,again the usual and strongest reply... another option is the Exchange variation Bxc6, dxc6, 0-0; brought to life again by Fischer at Havana 1966...
,business as usual; White could also consider the ancient Steinitz favorite d3, which is a bit slow, but very playable for White; which again Fischer showed us on several occasions in tournament play... we will try this on a next occasion...
,from here, Black has usually three choices; a) open defense: Nxe4, d4, b5, Bb3, d5, dxe5, Be6, c3; b) closed defense: Be7, Re1, b5, Bb3, d6, c3, 0-0; c) d6 defense: d6, Re1, b5, Bb3, Na5, d4, Nxb3... in this game, Black clearly hasn't decided yet...
,Black clearly ran out of theory already, and is trying to make a futile point about e4; giving White time for additional development...
,introducing Nd5 into the mixture... another strong option here is the usually played (Fischer) a4, to release Bb3, but Nc3 makes this all the more stronger after Bb7; plus: e4 is suddenly covered...
,Black closes his defenses; since we are preparing Nd5, we pass on a direct d4, exd4, Nxd4, Nxd4, Qxd4, c5!, Qe3, with too much complications; this old Steinitz move covers e4 after Nd5...
,a clever addition, if I may say so myself; keeping an eye on b4 and a5 after Nd5...
,Black wants to complete his development; best is first Nd4, Nxd4 (Nxe5, b4!, Ne2, Nxb3, axb3, d5! (ruining my plans), exd5, Qxd5), exd4, to simplify before Nd5 hits...
,now or never; this will clear a path either for c4 or d4, after an additional c3...
,not the best: Black should be preparing Nd8 (Na5 is impossible) to trade Bd5, and prepare c6 or c5; Qd7 (solves it rightaway) or Qc8 (supports c6/c5) were options...
,we need not protect a5 anymore, since Bb3 has been replaced, and cover the all important c5; after Na5, a4!, Bxd5, exd5, b4, Nd2, c6, Qf3, followed by c3 or c4, White has the better of the play... this is preventing Nd4, and preparing d4...
,not better, than the above variation for Black; this might well be the losing move already...
,still theory; enforcing d4, and preventing Nb4...
,underestimating the situation; needed was a way to put the Knight elsewhere, like Qd7, followed by Nd8; this will soon go sour...
,this move is what this variation is all about, and worth waiting for; now, Bd5 might even retreat to a2... needless to say, that also axb5 is a big problem; after c6, Ba2, threatening b4... Blacks' Queens' wing is about to fall apart, thanks to Rb8...
,not better than above variation; Black needs to find a way to cover for Na5...
,long overdue and a clear mistake at this point; last option was c5 (covers Na5), axb5, axb5, Nd2 (against e4, supporting c4), Ra8...
,no other option left; (also) after Rxb5, c4, and after e4, Nd2, leaves Na5 lost... after Nb7, bxa6, Nc5, b4, e4, bxc5, exf3, Qxf3, Bxc3, Ra3, Bb4, c6!, Black can start worrying...
","
1. e4 e5 2. Nf3 Nc6 3. Bb5,
3... a6,
4. Ba4,
4... Nf6 5. O-O,
5... b5,
6. Bb3 Bb7,
7. Nc3,
7... Be7 8. d3,
8... O-O 9. Bd2,
9... d6,
10. Nd5,
10... Nxd5 11. Bxd5 Bf6,
12. Be3,
12... Rb8,
13. c3,
13... Na5,
14. a4,
14... Bxd5,
15. exd5 Qd7,
16. axb5 Qxb5",32
"Last night's match was against the division leaders, who outgraded us comprehensively on all boards.  We were, and remain, in second place, despite losing 2-4, made up of draws on the top 4 boards and losses on boards 5 and 6.
,The Sicilian Dragon: against which I have had limited success in the past.
,A standard move that prepares Be3 and a kingside pawnstorm.  I believe that the usual strategy is that White castles queenside and Black castles kingside.  Then they race to break open the enemy kings' positions.
,Not sure that this is standard but it seemed good at the time: it attacks the normally weak f7 pawn and prepares to defend the pawns in front of a queenside-castled king.  It also gives White the option of castling kingside.
,I'd expected Black to castle immediately but he delayed that in favour of preparing to control the half-open c-file.
,Preparing both queenside castling and attacking the fianchettoed bishop, but I have to be careful not to over-burden my queen with defending both Bh6 and Nd4.
,Black plays very actively, preparing to get his attack in first.
,I didn't want this B exposed to a discovered attack, eg 10. ...Nxd4 11.Qxd4 Nh5 especially as I wanted to play Bh6 soon.
,Threatening ...Nc4 and meanwhile defending f7 but this second move with this N delays Black's completion of his development just too long.
,! By attacking the fianchettoed B before Black has castled, I severely inhibit his completion of his development.
,There is no safe way for Black to chase this Q away, so he just has to carry on attacking, but without his key black-squared B.
,Threatening to capture on b2, thereby ruining White's queenside before he can castle. 
,Preferable to retreating the other N as the Nd4 would have been vulnerable to attack by ...e5, diverting the N from defence of c2.
,Threatening to win the c2 pawn after ...b4.
,?!  I knew I was walking into a fierce attack but believed I would be able to defend myself and then take advantage of the fact that Black's K was stuck in the middle, preventing his Rs from connecting.
,?!  I thought 18. ...Bf5 would have won, because I didn't think I could defend c2 properly but in our brief chat after the game, Gary reckoned that I had a saving resource with Nd4 at the appropriate moment, but I can't see how that would have helped: eg not 18. ...Bf5 19. Nd4 Rxd4 20. Rxd4 Qxc2++ Nor 18. ...Bf5 19. Qe3 Bxc2 20. Nd4 Be4+ 21. Kd1 Rc1+ 22. Ke2 Rxh1 ...  Perhaps he'd seen something I haven't.
,Black patiently rearranges his attacking pieces while allowing me to complete my development by doubling my rooks
,I was glad to have the time to prevent ...Bf5.
,Everything seems to be holding but I'm wholly committed to defence now and my Q is still out on a limb.
,Not sure this achieves much ...
","
1. e4,
1... c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6,
6. f3,
6... Bg7 7. Be3 Nc6 8. Bc4,
8... Bd7,
9. Qd2,
9... Rc8,
10. Bb3,
10... Ne5,
11. Bh6,
11... Bxh6 12. Qxh6,
12... Nc4,
13. Bxc4 Rxc4 14. Nde2,
14... b5,
15. O-O-O,
15... Qc7 16. Rd2 b4 17. Nd5 Nxd5 18. exd5 Qa5,
19. Kb1 Rc5 20. Rhd1 Qa6,
21. g4,
21... Ra5 22. Nc1,
22... Ba4",178
"in the old days, I always treated the French defense kind of brutal; at this point, I usually played exd5, exd5, c4?! (turn things into Queens' Gambit lines), dxc4, Bxc4, and take it from there... that works fine in Blitz, but not here, as I learned the hard way from previous games; what suits me best then, is the Advance Variation...
,by the book...
,usually Nc6, Nf3, Qb6...
,still by the book (Euwe recommendation): theory follows with Nc6, b4, cxd4, cxd4, Rc8, Be3, Nge7, Bd3...
,obviously to block b4, but White has other options...
,still following Euwe's recommendation; unclear is Qc2, Ne7, dxc5 (Bd3, c4), Qxc5, a4, Ng6...
,not the best reply; Qb6 holds the pressure on b2 making Be3 impossible, so White has to find other ways to develop...
,still following Euwe; after this, we are in the dark in this opening...
,theory continues with Nge7 and/or Rc8...
,on the way to f5, so White has to react...
,making up for lost tempo: Black needs to castle quickly, before White can develop an attack...
,taking the opportunity, left by Qd7...
,at least, White is holding Nc6 in place for a little while...
,mainly covering for e5...
,Black had better prepare this, with Ra6 somewhere followed by Rb6...
,the right Knight; we might still need Nf3 to cover for e5...
,Black needs to get out of the pin...
,so the White Queens' work is done; we prepare Rac1 and b3...
,better looking is Nxd4, Nxd4, Ra6!, Qg3 (needs to cover for e5), Rb6... also directly Qb6, posts the same problems for White... this is obviously preparing Qc4, or some other way of preparing to trade Queens; like Nc6, Nb5, Nxe5, Nxc7, Nxd3...
,this move covers most of Blacks' options...
","
1. e4 e6 2. d4 d5 3. e5,
3... c5,
4. c3 Qb6,
5. Nf3 Bd7 6. a3,
6... a5,
7. Bd3,
7... Bb5 8. Bxb5+ Qxb5 9. a4 Qd7,
10. O-O Nc6 11. Be3,
11... cxd4,
12. Bxd4 Nh6,
13. Nbd2 Nf5 14. Nb3 Be7,
15. Qe2,
15... O-O 16. Qb5,
16... Rfc8 17. Rfe1,
17... Nfxd4,
18. Nbxd4,
18... Qc7,
19. Qd3,
19... Na7,
20. Re2",97
"Just like me, this is also ION's, ""Best by test.""  In all the games that I've played with him, as black, this is how he's opened.
,So, I stick with my usual, as well.
,This move, however, took me off guard.  As just like what I was learning with Ken in our second game, I'm now in unfamiliar territory.  The most common move 2.Nf3, but ION played this instead.  What's more is that I have not seen this played on only the second move.  So, this is already a taste of how intense openings can be.
,Knowing that, I stick with my usual.
,Surprisingly, he brings the other N out.  Well, I shouldn't be surprised as this develops.  But, the reason behind it is that I expected 2.Nf4.
,In case ION's plan is 4.Nb5, I prevent that.
,And, he plays an early K side fianchetto.
,So, I continue with my development.
,Not surprisingly, he completes that fianchetto.  But, nothing holds me back from continuing with my development, as I bring my other N into play.  It's also worth noting that I'm on the fringe between opening up a line for my Bf8 with an fianchetto, or advancing my e7 pawn.
,Meanwhile, this is how ION opens up a line for his Bc1.  I am not surprised as it's generally not wise to do a double fianchetto.  I have done that a couple of times but have, except for one or two occasions, gotten myself into trouble, that way.
,After some careful consideration on what to do with my Bf8, I decide to fianchetto.  The reason being is that I don't want to disturb the layout or structures of the Sicilian Defense.  By structures, I am talking about the pawn chain.  As I like the way my pawns are aligned and don't want to change it.  So, I felt that this move was the way to go.
,I have no idea why ION played this.
,But, like him earlier, I also complete my K side fianchetto.
,Bringing his K to safety, as expected.
,That's when I use the opportunity to pin.  And, now, I can see why ION played 3.Nbc3.  Before, exchanging the N would benefit me since the exchange involves his more powerful piece.  But, his Nc3, however, is just as powerful as his Ne2.  I didn't know that in the beginning, unfortunately.
,Hitting my B.  I didn't know what to do and had considered retreating.  I think this would've been the better option.
,?! On the other hand, I was worried that retreating would allow his Ne2 to become dangerous since the pin would be broken.  I asked myself a similar question to what Ken has told me to ask myself as well as others to ask myself.  That is, what would I do, if ION had the option of something like 10.Qd2, and then 11.f5, with the idea being 12.Nf4.  In other words, what would I do, if he could repost his N to that square, as then it would be dangerous.  By exchanging, I felt like I might have stopped a problem before it started.  Come to think, the N moving wasn't really of a concern, and therefore, I should not have given it too much thought.  Better would have been to retreat my LSB, as it was certainly not worth the exchange given that there's potential for his Nc3 to become as dangerous.  The point is that I might have been use my B at a later point in time, as Ken has mentioned.  I think that what really needs to be worked is exploring my options.  For had I done that, I thought about what those pieces could really do, I wouldn't have made this exchange.
,I also wanted time to castle.  But, this could have been just as soon by retreating.
,As now, just like me, ION has just completed his development.
,In case, ION is planning to make any threats against my c5 pawn, I add another defender.  The more important reason, though, is to discover an attack on his b2 pawn.  
","
1. e4,
1... c5,
2. Ne2,
2... d6,
3. Nbc3,
3... a6,
4. g3,
4... Nf6,
5. Bg2,
5... Nc6 6. d3,
6... g6,
7. f4,
7... Bg7,
8. O-O,
8... Bg4,
9. h3,
9... Bxe2,
10. Nxe2 O-O,
11. Be3,
11... Nd7",112
